,close_price,portfolio_value_DQN_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_DQN_Advanced,pnl_TA_RSI,pnl_TA_MACD,pnl_TA_SMA_Crossover,pnl_TA_Stochastic,pnl_TA_All_Signals,pnl_Buy_and_Hold
0,365.410004,365.410004,365.410004,365.410004,365.410004,365.410004,365.410004,365.410004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,365.410004,365.227298998,365.410004,365.410004,365.410004,365.22739030484763,365.410004,365.22739030484763,-0.18270500200003426,0.0,0.0,0.0,-0.18261369515238357,0.0,-0.18261369515238357
2,365.410004,365.22720764549905,365.410004,365.410004,365.410004,365.22739030484763,365.410004,365.22739030484763,-0.1827963545009652,0.0,0.0,0.0,-0.18261369515238357,0.0,-0.18261369515238357
3,374.290009,356.351644822324,365.410004,365.410004,365.410004,374.10295752123943,365.410004,374.10295752123943,-9.058359177676039,0.0,0.0,0.0,8.692953521239417,0.0,8.692953521239417
4,374.290009,356.34276925952366,365.410004,365.2273903048476,365.410004,374.10295752123943,365.410004,374.10295752123943,-9.067234740476351,0.0,-0.18261369515244041,0.0,8.692953521239417,0.0,8.692953521239417
5,374.290009,356.34276482174226,365.410004,365.0447766096952,365.410004,374.10295752123943,365.410004,374.10295752123943,-9.06723917825775,0.0,-0.365227390304824,0.0,8.692953521239417,0.0,8.692953521239417
6,378.869995,351.98238961622775,365.410004,365.0447766096952,365.410004,378.6806546726637,365.410004,378.6806546726637,-13.427614383772266,0.0,-0.365227390304824,0.0,13.270650672663692,0.0,13.270650672663692
7,378.869995,351.9780292410233,365.410004,364.86234543697674,365.410004,378.68065467266376,365.410004,378.68065467266376,-13.431974758976708,0.0,-0.5476585630232762,0.0,13.270650672663749,0.0,13.270650672663749
8,378.869995,351.9780270608357,365.410004,364.6799142642583,365.410004,378.6806546726637,365.410004,378.6806546726637,-13.431976939164315,0.0,-0.7300897357417284,0.0,13.270650672663692,0.0,13.270650672663692
9,384.920013,346.35743575553704,365.410004,364.6799142642583,365.410004,384.72764917541235,365.410004,384.72764917541235,-19.052568244462975,0.0,-0.7300897357417284,0.0,19.317645175412338,0.0,19.317645175412338
10,384.920013,346.35181516423233,365.2273903048476,364.49766543154254,365.410004,384.7276491754123,365.410004,384.7276491754123,-19.05818883576768,-0.18261369515244041,-0.9123385684574714,0.0,19.31764517541228,0.0,19.31764517541228
11,384.920013,346.00563362953983,365.22739030484763,364.3154165988268,365.410004,384.72764917541235,365.410004,384.72764917541235,-19.404370370460185,-0.18261369515238357,-1.0945874011732144,0.0,19.317645175412338,0.0,19.317645175412338
12,382.019989,343.3987942661086,362.4757323978283,364.3154165988268,365.410004,381.8290744627687,365.410004,381.8290744627687,-22.011209733891405,-2.934271602171691,-1.0945874011732144,0.0,16.419070462768673,0.0,16.419070462768673
13,382.019989,343.3987942661086,362.4757323978283,364.13334992386484,365.410004,381.8290744627687,365.410004,381.8290744627687,-22.011209733891405,-2.934271602171691,-1.2766540761351735,0.0,16.419070462768673,0.0,16.419070462768673
14,382.019989,343.3987942661086,362.4757323978283,363.95128324890294,365.410004,381.8290744627687,365.410004,381.8290744627687,-22.011209733891405,-2.934271602171691,-1.4587207510970757,0.0,16.419070462768673,0.0,16.419070462768673
15,379.980011,341.5650525622696,360.54012028087845,363.95128324890294,365.410004,379.79011594202905,365.410004,379.79011594202905,-23.8449514377304,-4.86988371912156,-1.4587207510970757,0.0,14.380111942029032,0.0,14.380111942029032
16,379.980011,341.56505256226967,360.35985022073805,363.95128324890294,365.410004,379.79011594202905,365.410004,379.79011594202905,-23.844951437730344,-5.0501537792619615,-1.4587207510970757,0.0,14.380111942029032,0.0,14.380111942029032
17,379.980011,341.5650525622696,360.35985022073805,363.95128324890294,365.410004,379.79011594202905,365.410004,379.79011594202905,-23.8449514377304,-5.0501537792619615,-1.4587207510970757,0.0,14.380111942029032,0.0,14.380111942029032
18,389.019989,349.69111306899396,360.35985022073805,363.95128324890294,365.410004,388.8255762118941,365.410004,388.8255762118941,-15.718890931006058,-5.0501537792619615,-1.4587207510970757,0.0,23.415572211894073,0.0,23.415572211894073
19,389.019989,349.69111306899396,360.1797603405678,363.76939854962814,365.410004,388.8255762118941,365.410004,388.8255762118941,-15.718890931006058,-5.230243659432233,-1.6406054503718792,0.0,23.415572211894073,0.0,23.415572211894073
20,389.019989,349.69111306899396,360.1797603405678,363.58751385035333,365.410004,388.8255762118941,365.410004,388.8255762118941,-15.718890931006058,-5.230243659432233,-1.8224901496466828,0.0,23.415572211894073,0.0,23.415572211894073
21,386.209991,349.5162675124595,357.57808321647155,363.58751385035333,365.410004,386.0169825087457,365.410004,386.0169825087457,-15.893736487540536,-7.83192078352846,-1.8224901496466828,0.0,20.60697850874567,0.0,20.60697850874567
22,386.209991,349.3415093787033,357.57808321647155,363.58751385035333,365.410004,386.0169825087457,365.410004,386.0169825087457,-16.068494621296736,-7.83192078352846,-1.8224901496466828,0.0,20.60697850874567,0.0,20.60697850874567
23,386.209991,349.34142199963645,357.57808321647155,363.58751385035333,365.410004,386.0169825087457,365.410004,386.0169825087457,-16.068582000363563,-7.83192078352846,-1.8224901496466828,0.0,20.60697850874567,0.0,20.60697850874567
