trade_date,strategy,buy_and_hold
2022-09-19,1.0,0.930541
2022-09-20,1.0,0.8532037374899999
2022-09-21,1.0,0.7958684463306719
2022-09-22,1.0,0.7673660096622316
2022-09-23,1.0,0.7623666201092821
2022-09-26,1.0,0.7703051437244801
2022-09-27,1.0,0.7580726980421354
2022-09-28,1.0,0.7325741647707902
2022-09-29,1.0,0.8007519119893486
2022-09-30,1.0,0.8884758854516058
2022-10-03,1.0,0.9396201113217421
2022-10-04,1.0,0.9327383336264217
2022-10-05,1.0,0.8848272963813669
2022-10-06,1.0,0.8433297810083772
2022-10-07,1.0,0.837673568167154
2022-10-10,1.0,0.8335656169888622
2022-10-11,1.0,0.8102566216410027
2022-10-12,1.0,0.8616439068420967
2022-10-13,1.0,0.9035740842807536
2022-10-14,1.0,0.9698232325661341
2022-10-17,1.055325,1.0234787029078556
2022-10-18,1.09413774285,1.0611202026434006
2022-10-19,1.1482133125148757,1.1135639464186453
2022-10-20,1.2134834982647837,1.1768644889528133
2022-10-21,1.2216041298351716,1.1847400661128853
2022-10-24,1.2296080800938516,1.1925024830260569
2022-10-25,1.2296080800938516,1.1845222564096465
2022-10-26,1.2296080800938516,1.176635707226471
2022-10-27,1.2267148122813907,1.173867083407367
2022-10-28,1.1137957138108887,1.065812618379719
2022-10-31,1.0770103827708564,1.030612025032492
2022-11-01,1.0620410154607243,1.0162875484965654
2022-11-02,1.0841941290022195,1.0374862904706552
2022-11-03,1.0841941290022195,1.097198813918694
2022-11-04,1.0841941290022195,1.1331167142911365
2022-11-07,1.0841941290022195,1.1495933644336438
2022-11-08,1.0841941290022195,1.1755523321959198
2022-11-09,1.0841941290022195,1.2390932868557736
2022-11-10,1.0841941290022195,1.2190137801422758
2022-11-11,1.0841941290022195,1.1845693267705757
2022-11-14,1.0841941290022195,1.1440665323496362
2022-11-15,1.0841941290022195,1.040822536270808
2022-11-16,1.0841941290022195,0.9409306341747534
2022-11-17,1.0841941290022195,0.8263732703946114
2022-11-18,1.0841941290022195,0.7226468974946798
2022-11-21,0.9921904994092201,0.6613238044201788
2022-11-22,0.9921904994092201,0.5822803993444657
2022-11-23,0.866024547694843,0.5082382060442228
2022-11-25,0.866024547694843,0.4461970599941984
2022-11-28,0.866024547694843,0.38995079720250975
2022-11-29,0.866024547694843,0.3580188962719878
2022-11-30,0.7601331281745516,0.31424285176812305
2022-12-01,0.6410210271227275,0.26500131113890996
2022-12-02,0.6410210271227275,0.22654458586774248
2022-12-05,0.6410210271227275,0.19315689789172633
2022-12-06,0.6410210271227275,0.17519427217228525
2022-12-07,0.5919463803492928,0.1617819242775916
2022-12-08,0.5919463803492928,0.14826326490303177
2022-12-09,0.5919463803492928,0.13922098490312565
2022-12-12,0.5919463803492928,0.12854510211779926
2022-12-13,0.5483649200424565,0.11908109751947842
2022-12-14,0.5483649200424565,0.1130359456039021
2022-12-15,0.5431828715480553,0.11196775591794522
2022-12-16,0.5462518547723018,0.1126003737388816
2022-12-19,0.5689486193380909,0.11727891926773212
2022-12-20,0.6068354768484338,0.12508863978068968
2022-12-21,0.6385547672233014,0.13162702298202633
2022-12-22,0.6385547672233014,0.14121315581176133
2022-12-23,0.6385547672233014,0.15417143984167178
2022-12-27,0.6385547672233014,0.17302336933407156
2022-12-28,0.6385547672233014,0.19630556693503354
2022-12-29,0.6385547672233014,0.2185395280572293
2022-12-30,0.6385547672233014,0.24461020105681644
2023-01-03,0.6385547672233014,0.2935322412681797
2023-01-04,0.6385547672233014,0.35223868952181564
2023-01-05,0.6385547672233014,0.42268642742617873
2023-01-06,0.6385547672233014,0.5043080219350288
2023-01-09,0.6385547672233014,0.5886631204560792
2023-01-10,0.7369292375521888,0.6793513834673018
2023-01-11,0.8349209290572159,0.7696867749810994
2023-01-12,0.9643111301959999,0.8889674435602454
2023-01-13,1.0979376521295199,1.0121534401492756
2023-01-17,1.0979376521295199,1.1582891659914683
2023-01-18,1.2500678932085862,1.318781712831246
2023-01-19,1.411909183070729,1.4895191060646562
2023-01-20,1.5228866567692714,1.606596797320444
2023-01-23,1.5228866567692714,1.697991269329612
2023-01-24,1.5228866567692714,1.782552932533496
2023-01-25,1.5228866567692714,1.846311285824354
2023-01-26,1.5671661092014948,1.8999946327709831
2023-01-27,1.5671661092014948,1.9221941700602794
2023-01-30,1.5671661092014948,1.9562266178411967
2023-01-31,1.5671661092014948,1.9812115442042644
2023-02-01,1.5671661092014948,2.0606422774345017
2023-02-02,1.5671661092014948,2.1049769960335047
2023-02-03,1.5671661092014948,2.068619833358014
2023-02-06,1.5671661092014948,2.0873429114697375
2023-02-07,1.5283536733410106,2.0356477769242782
2023-02-08,1.5283536733410106,1.9928604963011067
2023-02-09,1.5283536733410106,1.990612549661279
2023-02-10,1.5283536733410106,2.0114403287683853
2023-02-13,1.5283536733410106,2.00019637733057
2023-02-14,1.5283536733410106,2.0347957742656346
2023-02-15,1.5283536733410106,2.03047183324532
2023-02-16,1.5283536733410106,2.0792153400742075
2023-02-17,1.5283536733410106,2.170944083232261
2023-02-21,1.5283536733410106,2.30765060309748
2023-02-22,1.5283536733410106,2.462930104529306
2023-02-23,1.5283536733410106,2.6417979404406426
2023-02-24,1.6488842290817025,2.8501380514176127
2023-02-27,1.757346184786468,3.0376172823018117
2023-02-28,1.9166179842060351,3.3129226118313895
2023-03-01,2.14150435538285,3.7016443864906257
2023-03-02,2.420219005731573,4.183409701747994
2023-03-03,2.420219005731573,4.602775607299721
2023-03-06,2.420219005731573,4.955845318584468
2023-03-07,2.420219005731573,5.3533586274334475
