trade_date,close_price,portfolio_value_A2C_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_A2C_RawPrice
2022-10-18,143.75,143.75,143.75,143.75,143.75,143.75,143.75,143.75,0.0
2022-10-19,143.860001,143.860001,143.75,143.75,143.75,143.75,143.75,143.860001,0.11000100000001112
2022-10-20,143.389999,143.389999,143.75,143.28035738196607,143.75,143.28035738196607,143.75,143.389999,-0.3600010000000111
2022-10-21,147.270004,147.270004,143.75,147.1573955779411,143.75,147.1573955779411,143.75,147.270004,3.520004
2022-10-24,149.449997,149.449997,143.75,149.3357216697781,143.75,149.3357216697781,143.75,149.449997,5.699996999999996
2022-10-25,152.339996,152.339996,143.75,152.22351086317593,143.75,152.22351086317593,143.75,152.339996,8.589996000000014
2022-10-26,149.350006,149.350006,140.9286065788002,149.23580712681908,143.75,149.23580712681908,143.75,149.350006,5.600006000000008
2022-10-27,144.800003,144.800003,140.9286065788002,149.23580712681908,143.75,144.6892832375971,143.75,144.800003,1.0500030000000038
2022-10-28,155.740005,155.740005,140.9286065788002,149.23580712681908,143.75,155.62092008292143,143.75,155.740005,11.990004999999996
2022-10-31,153.339996,153.339996,138.75684650889025,146.93603013485978,143.75,153.22274622394866,143.75,153.339996,9.589996000000014
2022-11-01,150.649994,150.649994,136.32267274888434,144.35837117277896,143.75,150.53480110499927,143.75,150.649994,6.899993999999992
2022-11-14,148.279999,148.279999,136.32267274888434,144.35837117277896,143.75,148.16661829614475,143.75,148.279999,4.529999000000004
2022-11-15,150.039993,150.039993,136.32267274888434,144.35837117277896,143.75,149.92526653569257,143.75,150.039993,6.28999300000001
2022-11-16,148.789993,148.789993,136.32267274888434,143.15570540108718,143.75,148.67622233472667,143.75,148.789993,5.03999300000001
2022-11-17,150.720001,150.720001,136.32267274888434,145.01262904964022,143.75,150.6047545749009,143.75,150.720001,6.970000999999996
2022-11-18,151.289993,151.289993,136.83821701885475,145.56103694447074,143.75,151.1743107366585,143.75,151.289993,7.53999300000001
2022-11-21,148.009995,148.009995,133.8715364787518,142.40524388381675,143.75,147.89682075179465,143.75,148.009995,4.2599950000000035
2022-11-22,150.179993,150.179993,133.8715364787518,142.40524388381675,143.75,150.06515948620074,143.75,150.179993,6.429992999999996
2022-11-23,151.070007,151.070007,133.8715364787518,142.40524388381675,143.75,150.95449294658354,143.75,151.070007,7.320007000000004
2022-11-25,148.110001,148.110001,131.24851051168264,142.40524388381675,140.93341932359877,147.99675028328411,143.75,148.110001,4.360001000000011
2022-11-28,144.220001,144.220001,131.24851051168264,142.40524388381675,137.23190695125868,144.10972472987817,143.75,144.220001,0.47000099999999634
2023-01-06,129.619995,129.619995,131.24851051168264,142.40524388381675,137.23190695125868,129.52088246718418,143.75,129.619995,-14.130005000000011
2023-01-09,130.149994,130.149994,131.24851051168264,142.40524388381675,137.23190695125868,129.52088246718418,143.75,130.149994,-13.600006000000008
2023-01-10,130.729996,130.729996,131.24851051168264,143.03986032692703,137.23190695125868,129.52088246718418,143.75,130.729996,-13.020004
2023-01-11,133.490005,133.490005,131.24851051168264,146.05975869716076,137.23190695125868,129.52088246718418,143.75,133.490005,-10.259995000000004
2023-01-12,133.410004,133.410004,131.24851051168264,145.9722246023382,137.23190695125868,129.52088246718418,143.75,133.410004,-10.339996000000014
2023-01-13,134.759995,134.759995,131.24851051168264,147.4493341410137,137.23190695125868,130.831519004177,143.75,134.759995,-8.990004999999996
2023-01-17,135.940002,135.940002,131.24851051168264,148.74045355988676,137.23190695125868,131.97712685497547,143.75,135.940002,-7.809998000000007
2023-01-18,135.210007,135.210007,131.24851051168264,147.94172039967648,137.23190695125868,131.26841241256653,143.75,135.210007,-8.53999300000001
2023-01-19,135.270004,135.270004,131.24851051168264,148.007366867684,137.23190695125868,131.32666040111607,143.75,135.270004,-8.479996
2023-01-20,137.869995,137.869995,131.24851051168264,148.007366867684,137.23190695125868,133.85085737757922,143.75,137.869995,-5.880005000000011
