strategy,final_portfolio_value,total_return_%,sharpe_ratio_annualized
DQN_Advanced,316.27009282799025,-39.018165208549725,-0.29886565761880823
TA_RSI,320.02648906976276,-38.29387309171154,-0.2414187985218189
TA_MACD,440.6055212672188,-15.044344326507131,-9.334956525318297
TA_SMA_Crossover,234.72794656908,-54.74077004683136,-0.5114069850452847
TA_Stochastic,325.5901812892884,-37.221105961794784,-0.209031574136517
TA_All_Signals,497.29341574318204,-4.114029086461734,-4.2266155149111375
Buy_and_Hold,347.7160699925,-32.954887561412875,-0.11385851752779241
