,close_price,portfolio_value_DQN_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_DQN_Advanced
3326,393.100006,393.100006,393.100006,393.100006,393.100006,393.100006,393.100006,393.100006,0.0
3327,377.970001,393.100006,393.100006,393.100006,377.7810159995,393.100006,393.100006,377.7810159995,0.0
3328,377.970001,392.90345599700004,393.100006,393.100006,377.5921254915003,393.100006,393.100006,377.7810159995,-0.19655000299997027
3329,377.970001,392.7070042690016,393.100006,393.100006,377.5921254915003,393.100006,393.100006,377.7810159995,-0.39300173099843505
3330,377.089996,391.59679163965,393.100006,393.100006,377.5921254915003,393.100006,393.100006,376.901451002,-1.5032143603500003
3331,377.089996,391.59679163965,393.100006,392.90345599700004,377.5921254915003,393.100006,393.100006,376.901451002,-1.5032143603500003
3332,377.089996,391.59679163965,393.100006,392.7070042690016,377.5921254915003,393.100006,393.100006,376.901451002,-1.5032143603500003
3333,373.200012,387.55715847491985,393.100006,392.7070042690016,377.5921254915003,393.100006,393.100006,373.013411994,-5.5428475250801625
3334,373.200012,387.55715847491985,393.100006,392.5106507668671,377.5921254915003,393.100006,393.100006,373.013411994,-5.5428475250801625
3335,373.200012,387.55715847491985,393.100006,392.3143954414837,377.5921254915003,393.100006,393.100006,373.013411994,-5.5428475250801625
3336,362.790009,376.74667869820587,393.100006,392.3143954414837,377.5921254915003,393.100006,393.100006,362.60861399550004,-16.35332730179414
3337,362.790009,376.74667869820587,393.100006,392.3143954414837,377.5921254915003,393.100006,393.100006,362.60861399550004,-16.35332730179414
3338,362.790009,376.74667869820587,393.100006,392.3143954414837,377.5921254915003,393.100006,393.100006,362.60861399550004,-16.35332730179414
3339,371.130005,385.40751751793294,393.100006,392.3143954414837,377.5921254915003,393.100006,393.100006,370.9444399975,-7.692488482067063
3340,371.130005,385.40751751793294,393.100006,392.118238243763,377.5921254915003,393.100006,393.100006,370.9444399975,-7.692488482067063
3341,371.130005,385.40751751793294,393.100006,391.92217912464116,377.5921254915003,393.100006,393.100006,370.9444399975,-7.692488482067063
3342,368.5,382.6763352247908,393.100006,391.92217912464116,377.5921254915003,393.100006,393.100006,368.31575000000004,-10.423670775209189
3343,368.5,382.6763352247908,393.100006,391.7262180350789,377.5921254915003,392.90345599700004,393.100006,368.31575000000004,-10.423670775209189
3344,368.5,382.6763352247908,393.100006,391.53035492606136,377.5921254915003,392.90345599700004,393.100006,368.31575000000004,-10.423670775209189
3345,365.410004,379.46746590283897,393.100006,391.53035492606136,377.5921254915003,389.6088288398307,393.100006,365.22729899800004,-13.63254009716104
3346,365.410004,379.46746590283897,393.100006,391.53035492606136,377.5921254915003,389.6088288398307,393.100006,365.22729899800004,-13.63254009716104
3347,365.410004,379.46746590283897,393.100006,391.53035492606136,377.5921254915003,389.6088288398307,393.100006,365.22729899800004,-13.63254009716104
3348,374.290009,388.6890880742848,393.100006,391.53035492606136,377.5921254915003,399.0769011702802,393.100006,374.1028639955,-4.410917925715182
3349,374.290009,388.4947435302477,393.100006,391.3345897485983,377.5921254915003,399.0769011702802,393.100006,374.1028639955,-4.60526246975229
3350,374.290009,388.4947435302477,393.100006,391.13892245372404,377.5921254915003,399.0769011702802,393.100006,374.1028639955,-4.60526246975229
3351,378.869995,388.4947435302477,393.100006,391.13892245372404,377.5921254915003,403.96019106937894,393.100006,378.68056000250004,-4.60526246975229
3352,378.869995,388.4947435302477,393.100006,390.9433529924972,377.5921254915003,403.96019106937894,393.100006,378.68056000250004,-4.60526246975229
3353,378.869995,388.4947435302477,393.100006,390.7478813160009,377.5921254915003,403.96019106937894,393.100006,378.68056000250004,-4.60526246975229
3354,384.920013,388.4947435302477,393.100006,390.7478813160009,377.5921254915003,410.41086401658123,393.100006,384.7275529935,-4.60526246975229
3355,384.920013,388.30049615848253,392.90345599700004,390.55250737534294,377.5921254915003,410.41086401658123,393.100006,384.7275529935,-4.799509841517477
3356,384.920013,388.1063459104033,392.90345599700004,390.3572311216553,377.5921254915003,410.41086401658123,393.100006,384.7275529935,-4.993660089596688
3357,382.019989,384.9897246172148,389.94328397789997,390.3572311216553,377.5921254915003,407.31878951977194,393.100006,381.8289790055,-8.110281382785217
3358,382.019989,384.7972297549062,389.94328397789997,390.16205250609454,377.5921254915003,407.31878951977194,393.100006,381.8289790055,-8.30277624509381
3359,382.019989,384.7972297549062,389.94328397789997,389.9669714798415,377.5921254915003,407.31878951977194,393.100006,381.8289790055,-8.30277624509381
3360,379.980011,384.7972297549062,387.8609957640163,389.9669714798415,377.5921254915003,405.14371650387545,393.100006,379.7900209945,-8.30277624509381
3361,379.980011,384.6048311400288,387.66706526613433,389.9669714798415,377.5921254915003,405.14371650387545,393.100006,379.7900209945,-8.4951748599712
3362,379.980011,384.6048311400288,387.66706526613433,389.9669714798415,377.5921254915003,405.14371650387545,393.100006,379.7900209945,-8.4951748599712
3363,389.019989,393.75483669703056,387.66706526613433,389.9669714798415,377.5921254915003,414.78235584807317,393.100006,388.82547900550003,0.6548306970305475
3364,389.019989,393.55795927868206,387.4732317335013,389.7719879941016,377.5921254915003,414.78235584807317,393.100006,388.82547900550003,0.45795327868205504
3365,389.019989,393.36118029904276,387.4732317335013,389.57710200010456,377.5921254915003,414.78235584807317,393.100006,388.82547900550003,0.26117429904275014
3366,386.209991,393.16449970889323,384.6744063851599,389.57710200010456,377.5921254915003,411.7862692115883,393.100006,386.0168860045,0.06449370889322381
