strategy,final_portfolio_value,total_return_%,sharpe_ratio_annualized,max_drawdown_%,win_rate_%
DQN_Advanced,192.60203703096744,101.46657014675613,1.089842216559426,-10.948632908139933,9.276729559748427
TA_RSI,170.18990095970065,78.02291267799049,0.7192453394131427,-19.62904196721258,15.015723270440251
TA_MACD,67.6381845514154,-29.24875944933032,-9.69978195190399,-29.248759449330286,0.0
TA_SMA_Crossover,168.15730930660436,75.8967707369663,0.706804703482253,-17.936993416897305,13.915094339622641
TA_Stochastic,155.60156536311845,62.76314709035711,0.6204563972318922,-22.146722712979653,15.487421383647797
TA_All_Signals,76.41451954146085,-20.068492531285564,-7.336227524927037,-20.068492531285575,0.0
Buy_and_Hold,252.27772127872132,163.88883531014437,1.0356793952851326,-28.44752668748118,24.29245283018868
