,close_price,portfolio_value_DQN_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_DQN_Advanced,pnl_TA_RSI,pnl_TA_MACD,pnl_TA_SMA_Crossover,pnl_TA_Stochastic,pnl_TA_All_Signals,pnl_Buy_and_Hold
3326,393.100006,393.100006,393.100006,393.100006,393.100006,393.100006,393.100006,393.100006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3327,377.970001,400.5667334985,393.100006,393.100006,377.78111044477765,393.100006,393.100006,377.78111044477765,7.466727498500006,0.0,0.0,-15.318895555222355,0.0,0.0,-15.318895555222355
3328,377.970001,400.2721049457772,393.100006,393.100006,377.5922198895553,393.100006,393.100006,377.7811104447777,7.172098945777179,0.0,0.0,-15.507786110444727,0.0,0.0,-15.318895555222298
3329,377.970001,400.2721049457772,393.100006,393.100006,377.5922198895553,393.100006,393.100006,377.78111044477765,7.172098945777179,0.0,0.0,-15.507786110444727,0.0,0.0,-15.318895555222355
3330,377.089996,399.3401752879183,393.100006,393.100006,377.5922198895553,393.100006,393.100006,376.90154522738635,6.24016928791832,0.0,0.0,-15.507786110444727,0.0,0.0,-16.198460772613657
3331,377.089996,399.3401752879183,393.100006,392.9035542228886,377.5922198895553,393.100006,393.100006,376.90154522738635,6.24016928791832,0.0,-0.19645177711140605,-15.507786110444727,0.0,0.0,-16.198460772613657
3332,377.089996,399.3401752879183,393.100006,392.7071024457772,377.5922198895553,393.100006,393.100006,376.90154522738635,6.24016928791832,0.0,-0.3929035542228121,-15.507786110444727,0.0,0.0,-16.198460772613657
3333,373.200012,395.2206629462884,393.100006,392.7071024457772,377.5922198895553,393.100006,393.100006,373.0135052473764,2.1206569462884204,0.0,-0.3929035542228121,-15.507786110444727,0.0,0.0,-20.086500752623635
3334,373.200012,394.82544228334217,393.100006,392.5108470222661,377.5922198895553,393.100006,393.100006,373.0135052473764,1.7254362833421624,0.0,-0.5891589777339163,-15.507786110444727,0.0,0.0,-20.086500752623635
3335,373.200012,394.62783195186904,393.100006,392.314591598755,377.5922198895553,393.100006,393.100006,373.0135052473764,1.5278259518690334,0.0,-0.7854144012450206,-15.507786110444727,0.0,0.0,-20.086500752623635
3336,362.790009,383.4284093270288,393.100006,392.314591598755,377.5922198895553,393.100006,393.100006,362.6087046476762,-9.67159667297119,0.0,-0.7854144012450206,-15.507786110444727,0.0,0.0,-30.49130135232383
3337,362.790009,383.3325522246971,393.100006,392.314591598755,377.5922198895553,393.100006,393.100006,362.60870464767623,-9.767453775302897,0.0,-0.7854144012450206,-15.507786110444727,0.0,0.0,-30.491301352323774
3338,362.790009,383.2367909315631,393.100006,392.314591598755,377.5922198895553,393.100006,393.100006,362.6087046476762,-9.863215068436887,0.0,-0.7854144012450206,-15.507786110444727,0.0,0.0,-30.49130135232383
3339,371.130005,387.54600009725226,393.100006,392.314591598755,377.5922198895553,393.100006,393.100006,370.94453273363325,-5.554005902747747,0.0,-0.7854144012450206,-15.507786110444727,0.0,0.0,-22.155473266366755
3340,371.130005,387.54487489036194,393.100006,392.1185323325887,377.5922198895553,393.100006,393.100006,370.9445327336332,-5.555131109638069,0.0,-0.9814736674113078,-15.507786110444727,0.0,0.0,-22.155473266366812
3341,371.130005,387.54487460906023,393.100006,391.9224730664224,377.5922198895553,393.100006,393.100006,370.9445327336332,-5.555131390939778,0.0,-1.177532933577595,-15.507786110444727,0.0,0.0,-22.155473266366812
3342,368.5,386.1717102943096,393.100006,391.9224730664224,377.5922198895553,393.100006,393.100006,368.31584207896054,-6.928295705690402,0.0,-1.177532933577595,-15.507786110444727,0.0,0.0,-24.784163921039465
3343,368.5,386.171367003231,393.100006,391.7266097615417,377.5922198895553,392.9035542228886,393.100006,368.31584207896054,-6.928638996768996,0.0,-1.3733962384583265,-15.507786110444727,-0.19645177711140605,0.0,-24.784163921039465
3344,368.5,386.17136691740825,393.100006,391.53074645666095,377.5922198895553,392.9035542228886,393.100006,368.31584207896054,-6.928639082591758,0.0,-1.569259543339058,-15.507786110444727,-0.19645177711140605,0.0,-24.784163921039465
3345,365.410004,384.55227875037275,393.100006,391.53074645666095,377.5922198895553,389.60892624206224,393.100006,365.22739030484763,-8.547727249627258,0.0,-1.569259543339058,-15.507786110444727,-3.4910797579377686,0.0,-27.872615695152376
3346,365.410004,384.551873978331,393.100006,391.53074645666095,377.5922198895553,389.60892624206224,393.100006,365.22739030484763,-8.548132021669005,0.0,-1.569259543339058,-15.507786110444727,-3.4910797579377686,0.0,-27.872615695152376
3347,365.410004,384.55187387713795,393.100006,391.53074645666095,377.5922198895553,389.60892624206224,393.100006,365.22739030484763,-8.548132122862057,0.0,-1.569259543339058,-15.507786110444727,-3.4910797579377686,0.0,-27.872615695152376
3348,374.290009,389.22446428981027,393.100006,391.53074645666095,377.5922198895553,399.0770009395304,393.100006,374.10295752123943,-3.8755417101897365,0.0,-1.569259543339058,-15.507786110444727,5.976994939530414,0.0,-18.997048478760576
3349,374.290009,388.9313777939898,393.100006,391.33507891720234,377.5922198895553,399.0770009395304,393.100006,374.10295752123943,-4.168628206010226,0.0,-1.7649270827976693,-15.507786110444727,5.976994939530414,0.0,-18.997048478760576
3350,374.290009,388.54249431468764,393.100006,391.1394113777438,377.5922198895553,399.0770009395304,393.100006,374.10295752123943,-4.557511685312363,0.0,-1.9605946222562238,-15.507786110444727,5.976994939530414,0.0,-18.997048478760576
