strategy,final_portfolio_value,total_return_%,sharpe_ratio_annualized
DQN_Advanced,602.4654953884276,16.164797558989584,0.22447549493498858
TA_RSI,320.02880927050967,-38.29342572061374,-0.24141278237826003
TA_MACD,440.62347631028615,-15.040882312567671,-9.334956132841919
TA_SMA_Crossover,234.72859207190132,-54.7406455837623,-0.5114046621762219
TA_Stochastic,325.5929488179374,-37.22057233886085,-0.2090247962068304
TA_All_Signals,497.2986373521135,-4.113022278355549,-4.226615373529446
Buy_and_Hold,347.71615692153927,-32.95487080013058,-0.11385833788274677
