trade_date,close_price,portfolio_value_A2C_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_A2C_Advanced
2015-12-02,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.07,0.0
2015-12-03,28.799999,29.07,29.07,29.07,28.799999,28.799999,29.07,28.799999,0.0
2015-12-04,29.7575,29.07,29.07,29.07,29.7575,28.799999,29.07,29.7575,0.0
2015-12-07,29.57,28.886831891119886,28.886831891119886,29.07,29.57,28.618532149206082,29.07,29.57,-0.18316810888011403
2015-12-08,29.557501,28.87462166075779,28.886831891119886,29.07,29.557501,28.606435326976356,29.07,29.557501,-0.19537833924221104
2015-12-09,28.905001,28.237196641854993,28.886831891119886,29.07,28.905001,27.974930686213522,29.07,28.905001,-0.8328033581450072
2015-12-10,29.0425,28.237196641854993,28.886831891119886,29.07,29.0425,27.974930686213522,29.07,29.0425,-0.8328033581450072
2016-02-17,24.530001,23.849822221292918,28.886831891119886,29.07,24.530001,27.974930686213522,29.07,24.530001,-5.220177778707082
2016-02-18,24.065001,23.397715948125573,28.886831891119886,28.51893805752393,24.530001,27.444627292867175,29.07,24.065001,-5.672284051874428
2016-02-19,24.01,23.397715948125573,28.886831891119886,28.453757502904306,24.530001,27.38190209515225,29.07,24.01,-5.672284051874428
2016-02-22,24.219999,23.397715948125573,28.886831891119886,28.45375750290431,24.530001,27.621392809774484,29.07,24.219999,-5.672284051874428
2016-02-23,23.672501,22.868805823638496,28.886831891119886,27.81055453145393,24.530001,26.99700561138666,29.07,23.672501,-6.201194176361504
2016-04-01,27.497499,22.868805823638496,28.886831891119886,27.81055453145393,24.530001,26.99700561138666,29.07,27.497499,-6.201194176361504
2016-04-04,27.780001,23.10375385955949,29.18360752816619,27.81055453145393,24.7820157138655,27.274365675268392,29.070000000000004,27.780001,-5.966246140440511
2016-04-05,27.452499,22.831380737740183,28.839558230518954,27.482692331947163,24.48985734748091,26.952824675058142,28.727290036094676,27.452499,-6.238619262259817
2016-04-06,27.74,23.070486284870192,29.141585445995126,27.482692331947163,24.7463315751007,27.23509275006668,28.727290036094676,27.74,-5.999513715129808
2016-04-07,27.135,22.567326796681787,28.506017342360412,27.482692331947163,24.20662246901073,26.64110460609443,28.727290036094676,27.135,-6.5026732033182135
2016-04-08,27.165001,22.567326796681787,28.537534166620155,27.482692331947163,24.233385796104617,26.670559545445357,28.727290036094676,27.165001,-6.5026732033182135
2016-04-11,27.254999,22.567326796681787,28.63207938677043,27.482692331947163,24.313671316980464,26.758919454505218,28.727290036094676,27.254999,-6.5026732033182135
2016-04-12,27.610001,22.567326796681787,29.00501814367379,27.482692331947163,24.630361915460057,26.758919454505218,28.727290036094676,27.610001,-6.5026732033182135
2016-04-13,28.01,22.894270216616686,29.425227409600705,27.482692331947163,24.987193490215237,27.14658843803342,28.727290036094676,28.01,-6.175729783383314
2016-04-14,28.025,22.906530625515263,29.44098529646768,27.482692331947163,25.000574707721597,27.161126061259782,28.727290036094676,28.025,-6.1634693744847375
2016-04-15,27.4625,22.44676529181848,28.85006453895606,26.931077187015127,24.498779051232983,26.615965190271073,28.150694116547726,27.4625,-6.623234708181521
2016-06-01,24.615,22.44676529181848,25.858692348708363,26.931077187015127,21.958577927941736,23.856239714465996,28.150694116547726,24.615,-6.623234708181521
2016-06-06,24.657499,22.4855207286715,25.858692348708363,26.977575007424267,21.958577927941736,23.89742867776582,28.150694116547726,24.657499,-6.584479271328501
2016-06-07,24.7575,22.576713049449364,25.858692348708363,26.977575007424267,21.958577927941736,23.99434713511647,28.150694116547726,24.7575,-6.493286950550637
2016-06-08,24.735001,22.576713049449364,25.858692348708363,26.977575007424267,21.958577927941736,23.972541669451804,28.150694116547726,24.735001,-6.493286950550637
2016-06-09,24.9125,22.576713049449364,25.858692348708363,26.977575007424267,21.958577927941736,24.14456924178892,28.150694116547726,24.9125,-6.493286950550637
2016-06-10,24.7075,22.390933774983246,25.6459063203497,26.977575007424267,21.958577927941736,23.945888391028586,28.150694116547726,24.7075,-6.679066225016754
2016-06-30,23.9,21.659144681659395,25.6459063203497,26.977575007424267,21.958577927941736,23.163279674009235,28.150694116547726,23.9,-7.410855318340605
