trade_date,close_price,portfolio_value_PPO_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_Advanced
2015-12-02,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.07,0.0
2015-12-03,28.799999,29.070000000000004,29.07,29.07,28.799999,28.799999,29.07,28.799999,3.552713678800501e-15
2015-12-04,29.7575,30.036477605433255,29.07,29.07,29.7575,28.799999,29.07,29.7575,0.9664776054332549
2015-12-07,29.57,30.036477605433255,28.886831891119886,29.07,29.57,28.618532149206082,29.07,29.57,0.9664776054332549
2015-12-08,29.557501,30.023781429119747,28.886831891119886,29.07,29.557501,28.606435326976356,29.07,29.557501,0.9537814291197471
2015-12-09,28.905001,30.02378142911975,28.886831891119886,29.07,28.905001,27.974930686213522,29.07,28.905001,0.9537814291197506
2015-12-10,29.0425,30.166602386736134,28.886831891119886,29.07,29.0425,27.974930686213522,29.07,29.0425,1.0966023867361336
2016-02-17,24.530001,25.47944518251665,28.886831891119886,29.07,24.530001,27.974930686213522,29.07,24.530001,-3.5905548174833513
2016-02-18,24.065001,24.996447158591977,28.886831891119886,28.51893805752393,24.530001,27.444627292867175,29.07,24.065001,-4.0735528414080235
2016-02-19,24.01,24.996447158591977,28.886831891119886,28.453757502904306,24.530001,27.38190209515225,29.07,24.01,-4.0735528414080235
2016-02-22,24.219999,25.21507393522076,28.886831891119886,28.45375750290431,24.530001,27.621392809774484,29.07,24.219999,-3.8549260647792387
2016-02-23,23.672501,25.21507393522076,28.886831891119886,27.81055453145393,24.530001,26.99700561138666,29.07,23.672501,-3.8549260647792387
2016-04-01,27.497499,25.21507393522076,28.886831891119886,27.81055453145393,24.530001,26.99700561138666,29.07,27.497499,-3.8549260647792387
2016-04-04,27.780001,25.21507393522076,29.18360752816619,27.81055453145393,24.7820157138655,27.274365675268392,29.070000000000004,27.780001,-3.8549260647792387
2016-04-05,27.452499,25.21507393522076,28.839558230518954,27.482692331947163,24.48985734748091,26.952824675058142,28.727290036094676,27.452499,-3.8549260647792387
2016-04-06,27.74,25.47914311782778,29.141585445995126,27.482692331947163,24.7463315751007,27.23509275006668,28.727290036094676,27.74,-3.590856882172222
2016-04-07,27.135,25.47914311782778,28.506017342360412,27.482692331947163,24.20662246901073,26.64110460609443,28.727290036094676,27.135,-3.590856882172222
2016-04-08,27.165001,25.50731336926238,28.537534166620155,27.482692331947163,24.233385796104617,26.670559545445357,28.727290036094676,27.165001,-3.5626866307376197
2016-04-11,27.254999,25.50731336926238,28.63207938677043,27.482692331947163,24.313671316980464,26.758919454505218,28.727290036094676,27.254999,-3.5626866307376197
2016-04-12,27.610001,25.50731336926238,29.00501814367379,27.482692331947163,24.630361915460057,26.758919454505218,28.727290036094676,27.610001,-3.5626866307376197
2016-04-13,28.01,25.50731336926238,29.425227409600705,27.482692331947163,24.987193490215237,27.14658843803342,28.727290036094676,28.01,-3.5626866307376197
2016-04-14,28.025,25.50731336926238,29.44098529646768,27.482692331947163,25.000574707721597,27.161126061259782,28.727290036094676,28.025,-3.5626866307376197
2016-04-15,27.4625,25.50731336926238,28.85006453895606,26.931077187015127,24.498779051232983,26.615965190271073,28.150694116547726,27.4625,-3.5626866307376197
2016-06-01,24.615,22.862540503755795,25.858692348708363,26.931077187015127,21.958577927941736,23.856239714465996,28.150694116547726,24.615,-6.207459496244205
2016-06-06,24.657499,22.90201379682381,25.858692348708363,26.977575007424267,21.958577927941736,23.89742867776582,28.150694116547726,24.657499,-6.167986203176191
2016-06-07,24.7575,22.90201379682381,25.858692348708363,26.977575007424267,21.958577927941736,23.99434713511647,28.150694116547726,24.7575,-6.167986203176191
2016-06-08,24.735001,22.90201379682381,25.858692348708363,26.977575007424267,21.958577927941736,23.972541669451804,28.150694116547726,24.735001,-6.167986203176191
2016-06-09,24.9125,22.90201379682381,25.858692348708363,26.977575007424267,21.958577927941736,24.14456924178892,28.150694116547726,24.9125,-6.167986203176191
2016-06-10,24.7075,22.71355768730654,25.6459063203497,26.977575007424267,21.958577927941736,23.945888391028586,28.150694116547726,24.7075,-6.35644231269346
2016-06-30,23.9,21.971224475427555,25.6459063203497,26.977575007424267,21.958577927941736,23.163279674009235,28.150694116547726,23.9,-7.098775524572446
2016-08-01,26.512501,24.372891668451782,25.6459063203497,26.97757500742427,21.958577927941736,23.163279674009235,28.15069411654773,26.512501,-4.697108331548218
2016-08-02,26.120001,24.372891668451782,25.26623568004544,26.578189895079944,21.63349573985555,22.820362675267823,27.73394175354942,26.120001,-4.697108331548218
2016-08-03,26.4475,24.372891668451782,25.583029960374116,26.578189895079944,21.904741832890043,23.10648999799601,27.73394175354942,26.4475,-4.697108331548218
2016-08-04,26.467501,24.372891668451782,25.60237720235303,26.578189895079944,21.921307358607013,23.123964349312768,27.73394175354942,26.467501,-4.697108331548218
2016-08-05,26.870001,24.74353825486551,25.99172097998988,26.578189895079944,22.254671895434246,23.475618086875613,27.73394175354942,26.870001,-4.326461745134491
2016-08-08,27.092501,24.74353825486551,26.206948285640063,26.798273521115362,22.438954154922595,23.67001052565259,27.963595710025444,27.092501,-4.326461745134491
2016-08-09,27.202499,24.843999254053394,26.313350861671115,26.90707693098792,22.530058334604387,23.766112905340638,28.07713043319151,27.202499,-4.226000745946607
2016-08-10,27.0,24.843999254053394,26.11747079799985,26.90707693098792,22.362341600833016,23.589194817880415,28.07713043319151,27.0,-4.226000745946607
2016-08-11,26.9825,24.827896661944287,26.100542807667814,26.90707693098792,22.34784749053618,23.5739055249429,28.07713043319151,26.9825,-4.242103338055713
2016-08-12,27.045,24.827896661944287,26.16099991599652,26.90707693098792,22.39961217016774,23.628510142576886,28.07713043319151,27.045,-4.242103338055713
2016-08-15,27.370001,25.126254629887658,26.475377846619505,26.90707693098792,22.66878933248671,23.912455027947473,28.07713043319151,27.370001,-3.9437453701123424
2016-08-16,27.344999,25.126254629887658,26.45119306866056,26.90707693098792,22.64808180416434,23.89061143354612,28.07713043319151,27.344999,-3.9437453701123424
2016-08-17,27.305,25.08950110654904,26.412501486643922,26.90707693098792,22.614953237435017,23.85566535193425,28.07713043319151,27.305,-3.98049889345096
2016-08-18,27.27,25.08950110654904,26.37864550597985,26.90707693098792,22.585965016841346,23.82508676605922,28.07713043319151,27.27,-3.98049889345096
2016-08-19,27.34,25.08950110654904,26.446357467307998,26.90707693098792,22.64394145802869,23.88624393780928,28.07713043319151,27.34,-3.98049889345096
2016-10-03,28.129999,25.08950110654904,27.210534349269075,26.90707693098792,23.298246180336708,24.576445431028937,28.07713043319151,28.129999,-3.98049889345096
2016-10-04,28.25,25.196531512852538,27.32661296457392,26.90707693098792,23.397635193464172,24.681287170560065,28.07713043319151,28.25,-3.8734684871474627
2016-10-05,28.262501,25.196531512852538,27.338705353553394,26.90707693098792,23.40798895762536,24.681287170560065,28.07713043319151,28.262501,-3.8734684871474627
2016-10-06,28.4725,25.196531512852538,27.541840270224103,26.90707693098792,23.58191745295252,24.681287170560065,28.07713043319151,28.4725,-3.8734684871474627
2016-10-07,28.514999,25.196531512852538,27.582950136573885,26.90707693098792,23.617116606867103,24.681287170560065,28.07713043319151,28.514999,-3.8734684871474627
2016-10-10,29.012501,25.196531512852538,28.064190653497832,26.90707693098792,24.029165113204055,24.681287170560065,28.07713043319151,29.012501,-3.8734684871474627
2016-10-11,29.075001,25.250810984296702,28.124647761826537,26.90707693098792,24.08092979283561,24.734456680081497,28.07713043319151,29.075001,-3.819189015703298
2016-10-12,29.334999,25.250810984296702,28.376147397846474,27.147688657463974,24.296269203633145,24.95564013826634,28.328205153992684,29.334999,-3.819189015703298
2016-10-13,29.245001,25.17334302573414,28.289091096480607,27.0644011931012,24.221729721433448,24.879077745979785,28.241295936526917,29.245001,-3.896656974265859
2016-10-14,29.407499,25.31321711549724,28.446277643507774,27.21478282807111,24.356316232005753,25.0173167693112,28.39821691276808,29.407499,-3.756782884502762
2016-10-17,29.387501,25.29600335257657,28.426933303470054,27.196275942225572,24.339753190993402,25.000304227688645,28.378905255499248,29.387501,-3.7739966474234308
2016-10-18,29.3675,25.29600335257657,28.407586061491134,27.196275942225572,24.32318766527643,24.983289133929635,28.378905255499248,29.3675,-3.7739966474234308
2016-10-25,29.5625,25.29600335257657,28.59621223947669,27.196275942225572,24.484693465726888,25.1491780036365,28.378905255499248,29.5625,-3.7739966474234308
2016-12-01,27.372499,23.422066011751333,26.477794196325192,27.196275942225572,22.670858263202227,23.286117539293432,28.378905255499248,27.372499,-5.647933988248667
2016-12-08,28.030001,23.984676508032965,26.477794196325192,27.849544970550866,22.670858263202227,23.84546248088318,28.378905255499248,28.030001,-5.085323491967035
2016-12-09,28.487499,23.984676508032965,26.477794196325192,28.304097616658055,22.670858263202227,24.234661589155746,28.378905255499248,28.487499,-5.085323491967035
2016-12-12,28.325001,23.984676508032965,26.326759926826334,28.142645772306548,22.670858263202227,24.096422565824334,28.378905255499248,28.325001,-5.085323491967035
2016-12-13,28.797501,24.38477392197641,26.765926515573337,28.61210383613556,22.670858263202227,24.498384057806344,28.378905255499248,28.797501,-4.6852260780235895
2016-12-14,28.797501,24.38477392197641,26.765926515573337,28.61210383613556,22.670858263202227,24.498384057806344,28.378905255499248,28.797501,-4.6852260780235895
2016-12-15,28.955,24.51813887985721,26.912314449035904,28.768588863849857,22.670858263202227,24.632370371088196,28.378905255499248,28.955,-4.551861120142789
2016-12-16,28.9925,24.51813887985721,26.947168940206303,28.805847440344223,22.670858263202227,24.664272076801055,28.378905255499248,28.9925,-4.551861120142789
2016-12-19,29.16,24.51813887985721,27.102852334100746,28.805847440344223,22.670858263202227,24.806766362318488,28.378905255499248,29.16,-4.551861120142789
2016-12-20,29.237499,24.51813887985721,27.174884019733135,28.882405203402495,22.670858263202227,24.87269570341291,28.378905255499248,29.237499,-4.551861120142789
2016-12-21,29.264999,24.51813887985721,27.200443979924756,28.882405203402495,22.670858263202227,24.896090287602338,28.378905255499248,29.264999,-4.551861120142789
2016-12-22,29.0725,24.51813887985721,27.021525188036485,28.882405203402495,22.670858263202227,24.732329048988486,28.378905255499248,29.0725,-4.551861120142789
2016-12-23,29.129999,24.566630356938745,27.074967811711332,28.882405203402495,22.715696226200794,24.781244147036052,28.378905255499248,29.129999,-4.503369643061255
2016-12-27,29.315001,24.72265081369517,27.246918493724817,28.882405203402495,22.859961567000827,24.938627596643787,28.378905255499248,29.315001,-4.347349186304829
2016-12-28,29.190001,24.61723272581205,27.13073685649016,28.882405203402495,22.76248603916867,24.832288577600927,28.378905255499248,29.190001,-4.452767274187952
2016-12-29,29.182501,24.61090764053906,27.12376595825608,28.882405203402495,22.756637507498745,24.825908236458353,28.378905255499248,29.182501,-4.459092359460939
2017-02-01,32.1875,24.61090764053906,29.91677158792413,28.882405203402495,25.099948416779487,27.38229740353657,28.378905255499248,32.1875,-4.459092359460939
2017-02-02,32.1325,24.61090764053906,29.865651667540885,28.83305274402581,25.05705918453334,27.33550823515771,28.330413145548103,32.1325,-4.459092359460939
2017-02-03,32.27,24.716221568822707,29.99345146849901,28.95643389246753,25.16428226514871,27.45248115610486,28.451643420425967,32.27,-4.353778431177293
2017-02-06,32.572498,24.716221568822707,30.274609171700682,29.227870624404428,25.400171482894077,27.709819880764275,28.718348261807808,32.572498,-4.353778431177293
2017-02-07,32.8825,24.716221568822707,30.562741490948824,29.506040826435186,25.641912351526262,27.973542349414874,28.991669190336435,32.8825,-4.353778431177293
2017-02-08,33.009998,24.81205579120792,30.68124490202198,29.620447005809897,25.741335830306614,28.082006447414287,29.104080954601002,33.009998,-4.257944208792079
2017-02-09,33.105,24.81205579120792,30.76954480522651,29.705693957549965,25.81541879106749,28.16282580331116,29.187841816956972,33.105,-4.257944208792079
2017-02-10,33.029999,24.755842862756133,30.69983489343262,29.705693957549965,25.756932694563975,28.099021541173293,29.187841816956972,33.029999,-4.314157137243868
2017-02-13,33.322498,24.97506961118908,30.971698995108625,29.705693957549965,25.985024649887,28.34785399502144,29.187841816956972,33.322498,-4.094930388810919
2017-02-14,33.755001,24.97506961118908,31.373690248299827,29.70569395754997,26.322292315598915,28.71578955304619,29.187841816956972,33.755001,-4.094930388810919
2017-02-15,33.877499,24.97506961118908,31.487546393883594,29.813496890170587,26.41781677326598,28.82000009028389,29.293765447262704,33.877499,-4.094930388810919
2017-02-16,33.837502,24.9455831411507,31.4503710583278,29.813496890170587,26.38662694377236,28.78597415632663,29.293765447262704,33.837502,-4.124416858849301
2017-02-17,33.93,24.9455831411507,31.536343610975248,29.813496890170587,26.458757274759705,28.86466332899404,29.293765447262704,33.93,-4.124416858849301
2017-02-21,34.174999,24.9455831411507,31.76405869050208,29.813496890170587,26.649808529506505,29.0730869556059,29.293765447262704,34.174999,-4.124416858849301
2017-02-22,34.2775,24.9455831411507,31.859328562487597,29.813496890170587,26.729739242133096,29.1602858019332,29.293765447262704,34.2775,-4.124416858849301
2017-02-23,34.1325,24.84005883058351,31.72455786329539,29.813496890170587,26.616667629847793,29.036932539843477,29.293765447262704,34.1325,-4.229941169416492
2017-02-27,34.232498,24.912832761673837,31.817501314176923,29.813496890170587,26.694646492505072,29.12200205365346,29.293765447262704,34.232498,-4.1571672383261635
2017-02-28,34.247501,24.923751252925143,31.831445899004375,29.813496890170587,26.7063458952576,29.13476528807506,29.293765447262704,34.247501,-4.146248747074857
2017-04-03,35.924999,26.144556907599902,33.390601611787275,29.813496890170587,28.01446591915665,30.561833222205944,29.293765447262704,35.924999,-2.925443092400098
2017-04-04,36.192501,26.33923252225745,33.639232174375636,29.813496890170587,28.223065108325905,30.78940042438197,29.293765447262704,36.192501,-2.7307674777425497
2017-04-05,36.005001,26.33923252225745,33.46495971852365,29.813496890170587,28.076851816577673,30.62989189581768,29.293765447262704,36.005001,-2.7307674777425497
2017-04-06,35.915001,26.273393587077216,33.38130893971469,29.813496890170587,28.00666943653852,30.553327802106818,29.293765447262704,35.915001,-2.7966064129227846
2017-04-07,35.834999,26.273393587077216,33.30695083297832,29.813496890170587,27.944283539117503,30.485269128495087,29.293765447262704,35.834999,-2.7966064129227846
2017-04-10,35.7925,26.273393587077212,33.267450005771636,29.813496890170587,27.911142639458788,30.449114712732662,29.293765447262704,35.7925,-2.796606412922788
2017-04-25,36.1325,26.522969722290075,33.5834640590499,29.813496890170587,28.17627607516225,30.738356844529243,29.293765447262704,36.1325,-2.5470302777099256
2017-04-26,35.919998,26.522969722290075,33.38595341684479,29.813496890170587,28.01056611823914,30.557578810732075,29.293765447262704,35.919998,-2.5470302777099256
2017-04-27,35.947498,26.54327544912678,33.411513377036414,29.813496890170587,28.032010734362217,30.580973394921507,29.293765447262704,35.947498,-2.526724550873219
2017-04-28,35.912498,26.54327544912678,33.37898251861071,29.813496890170587,28.004717586569214,30.551198469589504,29.293765447262704,35.912498,-2.526724550873219
2017-06-02,38.862499,28.723649788951302,36.12087008680171,29.813496890170587,30.305140823212255,33.06080016971316,29.293765447262704,38.862499,-0.3463502110486978
2017-06-05,38.482498,28.723649788951302,35.76767698015525,29.813496890170587,30.008814438798286,33.06080016971316,29.293765447262704,38.482498,-0.3463502110486978
2017-06-06,38.612499,28.723649788951302,35.888506812332395,29.813496890170587,30.110189767547947,33.172485671077,29.293765447262704,38.612499,-0.3463502110486978
2017-06-07,38.842499,28.723649788951302,36.10228102484416,29.813496890170587,30.28954473875911,33.37008157659836,29.293765447262704,38.842499,-0.3463502110486978
2017-06-08,38.747501,28.723649788951302,36.01398483945202,29.813496890170587,30.215464897215117,33.28846759471698,29.293765447262704,38.747501,-0.3463502110486978
2017-08-02,39.285,28.7236497889513,36.51356495010794,29.81349689017059,30.634608887089154,33.75023977568144,29.293765447262704,39.285,-0.34635021104870134
2017-08-03,38.892502,28.43667065964333,36.14875646809732,29.515629055058,30.32853728930464,33.75023977568144,29.293765447262704,38.892502,-0.6333293403566707
2017-08-04,39.0975,28.586557149637862,36.33929249425596,29.67120261329883,30.488395595340922,33.92813349035002,29.448169587401537,39.0975,-0.4834428503621382
2017-08-07,39.702499,28.586557149637862,36.901610689018604,30.130338054435562,30.960176370244326,34.4531411464285,29.903853791051606,39.702499,-0.4834428503621382
2017-08-08,40.02,28.586557149637862,37.19671297704773,30.371290455507882,31.20776499074222,34.728663016402784,30.142994996810785,40.02,-0.4834428503621382
2017-08-09,40.264999,28.586557149637862,37.42442805657456,30.557220885050835,31.39881624548902,34.94126890621677,30.327527821179192,40.264999,-0.4834428503621382
2017-08-10,38.830002,28.58655714963786,36.090665649479995,29.46819762943408,30.27979952538856,33.69600335792719,29.246690555026305,38.830002,-0.48344285036214174
2017-08-11,39.369999,28.984101684946744,36.59256753397442,29.46819762943408,30.7008914662108,34.164603403975875,29.246690555026305,39.369999,-0.08589831505325662
2017-08-14,39.962502,28.98410168494674,37.143271282825985,29.46819762943408,31.162927807547874,34.67876724763424,29.246690555026305,39.962502,-0.08589831505326018
2017-08-15,40.400002,29.301412760393525,37.54990701314728,29.790808472540885,31.50409215496041,35.05842217191401,29.566876391184014,40.400002,0.23141276039352476
2017-08-16,40.237499,29.301412760393525,37.398868096382934,29.67097937576972,31.377371629365943,34.917404882404895,29.44794802790827,40.237499,0.23141276039352476
2017-08-17,39.465,28.738870042318748,36.68086650772586,29.67097937576972,30.77497364716746,34.247043626745025,29.44794802790827,39.465,-0.3311299576812523
2017-08-18,39.375,28.673331000032956,36.5972157289169,29.67097937576972,30.704791267128307,34.168943185178904,29.44794802790827,39.375,-0.3966689999670443
2017-08-21,39.302502,28.673331000032956,36.529832238226994,29.67097937576972,30.6482570205941,34.10603067614934,29.44794802790827,39.302502,-0.3966689999670443
2017-08-22,39.945,29.14206853284599,36.529832238226994,29.67097937576972,31.149279674042926,34.10603067614934,29.44794802790827,39.945,0.07206853284598935
2017-08-23,39.994999,29.17854554585322,36.57555648611982,29.67097937576972,31.188269105371564,34.10603067614934,29.44794802790827,39.994999,0.10854554585321807
2017-08-24,39.817501,29.049051018867534,36.41323398862024,29.67097937576972,31.049855415458353,34.10603067614934,29.44794802790827,39.817501,-0.02094898113246657
2017-08-25,39.965,29.049051018867534,36.54812230318543,29.67097937576972,31.164875758496073,34.232372241851856,29.44794802790827,39.965,-0.02094898113246657
2017-08-28,40.3675,29.341613086554112,36.916209860473856,29.67097937576972,31.478746958115604,34.577137156836095,29.44794802790827,40.3675,0.27161308655411176
2017-08-29,40.727501,29.603284234204384,37.24543194422886,29.670979375769722,31.759477258076426,34.88549917959198,29.44794802790827,40.727501,0.533284234204384
2017-08-30,40.837502,29.603284234204384,37.34602821600349,29.75111779139002,31.845256502372948,34.97972150359989,29.527484057654316,40.837502,0.533284234204384
2017-08-31,41.0,29.603284234204384,37.49463316478425,29.869501553914606,31.9719731289463,35.118910594668485,29.64497795099776,41.0,0.533284234204384
2017-10-05,38.8475,29.603284234204384,35.52616492363307,28.301352722334087,30.293444539676617,33.275167788448385,28.088616608570373,38.8475,0.533284234204384
2017-10-06,38.825001,29.603284234204384,35.52616492363307,28.301352722334087,30.293444539676617,33.275167788448385,28.088616608570373,38.825001,0.533284234204384
2017-10-09,38.959999,29.706217500453345,35.52616492363307,28.399759056304553,30.293444539676617,33.275167788448385,28.088616608570373,38.959999,0.6362175004533448
2017-10-10,38.974998,29.706217500453345,35.52616492363307,28.41069252645391,30.293444539676617,33.2879782159245,28.088616608570373,38.974998,0.6362175004533448
2017-10-11,39.137501,29.830075094043888,35.52616492363307,28.529148536833343,30.293444539676617,33.426769661764276,28.088616608570373,39.137501,0.7600750940438878
2017-10-12,39.0,29.830075094043888,35.52616492363307,28.428917649507063,30.293444539676617,33.30933206003129,28.088616608570373,39.0,0.7600750940438878
2017-10-13,39.247501,29.830075094043888,35.52616492363307,28.609332663537078,30.293444539676617,33.52071905988231,28.088616608570373,39.247501,0.7600750940438878
2017-10-16,39.970001,30.3792114391948,35.52616492363307,29.13599658665936,30.293444539676617,34.13779578843033,28.088616608570373,39.970001,1.3092114391948009
2017-10-17,40.1175,30.379211439194798,35.65726509048247,29.2435154821564,30.293444539676617,34.2637725363668,28.088616608570373,40.1175,1.3092114391947973
2017-10-18,39.939999,30.244797769108963,35.4994985244994,29.114126730574217,30.293444539676617,34.11217151713635,28.088616608570373,39.939999,1.174797769108963
2017-10-19,38.994999,29.529190993760572,34.65956294749421,28.425272187528467,30.293444539676617,33.305060778758666,28.088616608570373,38.994999,0.45919099376057204
2017-10-20,39.0625,29.58030652068416,34.65956294749421,28.425272187528467,30.293444539676617,33.362712399871086,28.088616608570373,39.0625,0.5103065206841606
2017-10-27,40.762501,30.867642217720185,34.65956294749421,28.425272187528467,30.293444539676617,33.362712399871086,28.088616608570373,40.762501,1.7976422177201847
2017-10-30,41.68,31.562423700022165,35.43969452834993,29.065079808920128,30.293444539676617,33.362712399871086,28.088616608570373,41.68,2.492423700022165
2017-10-31,42.259998,32.00163057672959,35.93285556354796,29.469534899107607,30.293444539676617,33.82697119225354,28.088616608570373,42.259998,2.9316305767295887
2017-12-13,43.067501,32.00163057672959,36.61945968184753,30.03263804548338,30.293444539676617,34.473336123900204,28.088616608570373,43.067501,2.9316305767295887
2017-12-14,43.055,31.992341614645635,36.60883032433076,30.03263804548338,30.284651404681615,34.4633297115271,28.088616608570373,43.055,2.922341614645635
2017-12-15,43.4925,32.31742928057079,36.980828077597394,30.03263804548338,30.592386510698294,34.8135261288722,28.088616608570373,43.4925,3.247429280570792
2017-12-18,44.105,32.772552012866,37.50162493217067,30.03263804548338,31.023215659121647,35.30380111315533,28.088616608570373,44.105,3.7025520128660006
2017-12-19,43.634998,32.772552012866,37.101991359528796,29.71259723499357,30.692618824154675,34.927588503909554,27.789292133266866,43.634998,3.7025520128660006
2017-12-20,43.587502,32.73687961223009,37.06160643315359,29.680255546373044,30.659210397650973,34.889570380393614,27.759043931601735,43.587502,3.6668796122300904
2017-12-21,43.752499,32.86080244968426,37.20190017782955,29.680255546373044,30.77526838459368,35.02164205644547,27.759043931601735,43.752499,3.790802449684257
2017-12-22,43.752499,32.86080244968426,37.20190017782955,29.680255546373044,30.77526838459368,35.02164205644547,27.759043931601735,43.752499,3.790802449684257
2018-02-12,40.677502,30.551291650075488,34.587289948568696,29.680255546373044,28.612332321060016,32.560263924452514,27.759043931601735,40.677502,1.4812916500754874
