trade_date,close_price,portfolio_value_A2C_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_A2C_Advanced
2015-12-02,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.07,0.0
2015-12-03,28.799999,29.070000000000004,29.07,29.07,28.799999,28.799999,29.07,28.799999,3.552713678800501e-15
2015-12-04,29.7575,30.036477605433255,29.07,29.07,29.7575,28.799999,29.07,29.7575,0.9664776054332549
2015-12-07,29.57,29.8472197863618,28.886831891119886,29.07,29.57,28.618532149206082,29.07,29.57,0.7772197863618011
2015-12-08,29.557501,29.834603607798737,28.886831891119886,29.07,29.557501,28.606435326976356,29.07,29.557501,0.7646036077987368
2015-12-09,28.905001,29.175986397430087,28.886831891119886,29.07,28.905001,27.974930686213522,29.07,28.905001,0.10598639743008675
2015-12-10,29.0425,29.175986397430087,28.886831891119886,29.07,29.0425,27.974930686213522,29.07,29.0425,0.10598639743008675
2016-04-01,27.497499,29.175986397430083,28.886831891119886,29.07,27.497499,27.974930686213526,29.07,27.497499,0.1059863974300832
2016-04-04,27.780001,29.475732731060162,29.18360752816619,29.368657457538227,27.780001,28.262337692527684,29.368657457538227,27.780001,0.40573273106016217
2016-04-05,27.452499,29.128239531873895,28.839558230518954,29.022426582504828,27.452499,27.929149363305587,29.022426582504828,27.452499,0.058239531873894634
2016-04-06,27.74,29.43329001174654,29.141585445995126,29.022426582504828,27.74,28.221642165913455,29.022426582504828,27.74,0.36329001174653897
2016-04-07,27.135,28.791359930380043,28.506017342360412,29.022426582504828,27.135,27.60613771348456,29.022426582504828,27.135,-0.27864006961995713
2016-04-08,27.165001,28.791359930380047,28.537534166620155,29.022426582504828,27.165001,27.636659612785913,29.022426582504828,27.165001,-0.2786400696199536
2016-04-11,27.254999,28.886746078571772,28.63207938677043,29.022426582504828,27.254999,27.72822022387632,29.022426582504828,27.254999,-0.1832539214282285
2016-04-12,27.610001,29.263001921816716,29.00501814367379,29.022426582504828,27.610001,27.728220223876317,29.022426582504828,27.610001,0.19300192181671605
2016-04-13,28.01,29.686948719418236,29.425227409600705,29.022426582504828,28.01,28.129931921073663,29.022426582504828,28.01,0.6169487194182359
2016-04-14,28.025,29.702846764073403,29.44098529646768,29.022426582504828,28.025,28.144996147379125,29.022426582504828,28.025,0.6328467640734026
2016-04-15,27.4625,29.10667008950458,28.85006453895606,28.43990686965348,27.4625,27.580087660924146,28.43990686965348,27.4625,0.03667008950457884
2016-05-16,23.469999,29.10667008950458,24.655839267336706,28.43990686965348,23.469999,23.570491755004173,28.43990686965348,23.469999,0.03667008950457884
2016-05-17,23.372499,29.10667008950458,24.655839267336706,28.43990686965348,23.469999,23.570491755004173,28.43990686965348,23.372499,0.03667008950457884
2016-05-18,23.639999,29.10667008950458,24.655839267336706,28.439906869653484,23.469999,23.570491755004173,28.43990686965348,23.639999,0.03667008950457884
2016-05-19,23.549999,28.995857889044863,24.655839267336706,28.331633107955405,23.469999,23.57049175500417,28.43990686965348,23.549999,-0.07414211095513679
2016-05-20,23.805,28.995857889044863,24.655839267336706,28.638409969141758,23.469999,23.825714651957068,28.43990686965348,23.805,-0.07414211095513679
2016-05-23,24.1075,28.995857889044863,24.655839267336706,29.002330112626968,23.469999,24.12847788162382,28.43990686965348,24.1075,-0.07414211095513679
2016-05-24,24.475,29.437877085320874,24.655839267336706,29.44444797289412,23.469999,24.496297673037148,28.43990686965348,24.475,0.36787708532087393
2016-05-25,24.905001,29.95507081707021,24.655839267336706,29.9617571484934,23.469999,24.926672851615432,28.43990686965348,24.905001,0.8850708170702113
2016-05-26,25.102501,30.19261854840222,24.851363381360997,30.199357903330853,23.469999,25.12434471230695,28.43990686965348,25.102501,1.1226185484022189
2016-05-27,25.0875,30.174575745780896,24.836512458654774,30.181311073339373,23.469999,25.10933065872602,28.43990686965348,25.0875,1.1045757457808953
2016-05-31,24.965,30.027236013688892,24.715238008184016,30.033938453250325,23.469999,24.986724061588244,28.43990686965348,24.965,0.9572360136888918
2016-06-01,24.615,29.606265350568876,24.368739578267554,30.033938453250325,23.469999,24.636419498337457,28.43990686965348,24.615,0.5362653505688755
2016-06-06,24.657499,29.65738201403156,24.368739578267554,30.033938453250325,23.469999,24.67895548014773,28.43990686965348,24.657499,0.587382014031558
2016-06-07,24.7575,29.777660549124885,24.368739578267554,30.033938453250325,23.469999,24.779043499089568,28.43990686965348,24.7575,0.7076605491248849
2016-06-08,24.735001,29.75059935212621,24.368739578267554,30.033938453250325,23.469999,24.756524920893625,28.43990686965348,24.735001,0.6805993521262081
2016-06-09,24.9125,29.96409041422089,24.368739578267554,30.033938453250325,23.469999,24.93417837710063,28.43990686965348,24.9125,0.8940904142208908
2016-06-10,24.7075,29.71752188296488,24.16821407446244,30.033938453250325,23.469999,24.72899999005374,28.43990686965348,24.7075,0.647521882964881
2016-06-30,23.9,28.746282424480853,24.16821407446244,30.033938453250325,23.469999,23.920797319125136,28.43990686965348,23.9,-0.32371757551914726
2016-10-03,28.129999,28.74628242448085,24.16821407446244,30.033938453250325,23.469999,23.920797319125136,28.43990686965348,28.129999,-0.3237175755191508
2016-10-04,28.25,28.868912455047866,24.271314321894,30.033938453250325,23.57012070103522,24.02284210053776,28.43990686965348,28.25,-0.20108754495213432
2016-10-05,28.262501,28.881687332024875,24.282054700667025,30.033938453250325,23.580550792323137,24.02284210053776,28.43990686965348,28.262501,-0.1883126679751257
2016-10-06,28.4725,28.881687332024878,24.462477770977944,30.033938453250325,23.75576147469824,24.02284210053776,28.43990686965348,28.4725,-0.18831266797512214
2016-10-07,28.514999,28.924797098639107,24.498991278495332,30.033938453250325,23.79122011397871,24.02284210053776,28.43990686965348,28.514999,-0.14520290136089287
2016-10-10,29.012501,29.429448857742,24.92642587735448,30.033938453250325,24.20630620916478,24.02284210053776,28.43990686965348,29.012501,0.35944885774199875
2016-10-11,29.075001,29.49284706507369,24.980123475411766,30.03393845325033,24.258452493901583,24.074593158858573,28.43990686965348,29.075001,0.4228470650736895
2016-10-12,29.334999,29.49284706507369,25.203503765006943,30.302511580039496,24.475379369725573,24.28987590543928,28.69422565390034,29.334999,0.4228470650736895
2016-10-13,29.245001,29.402364796771497,25.126180942127586,30.209545310049833,24.400290388385688,24.215356037491176,28.606193507712103,29.245001,0.3323647967714969
2016-10-14,29.407499,29.565737178764095,25.2657929787534,30.377402739556935,24.535869060020268,24.349907133091424,28.76514201424887,29.407499,0.4957371787640952
2016-10-17,29.387501,29.545631571956083,25.248611465698204,30.356745175308248,24.5191839175856,24.33334845046263,28.745580836673007,29.387501,0.4756315719560824
2016-10-18,29.3675,29.52552294900544,25.2314273751583,30.356745175308248,24.502496272129267,24.316787283783036,28.745580836673007,29.3675,0.455522949005438
2016-10-25,29.5625,29.52552294900544,25.39896388109704,30.356745175308248,24.665192680508095,24.478250585743968,28.745580836673007,29.5625,0.455522949005438
2016-11-16,27.497499,27.463104871535023,23.62479438212269,30.356745175308248,22.94227859846355,22.768394790807417,28.745580836673007,27.497499,-1.606895128464977
2016-11-17,27.487499,27.45311737962838,23.62479438212269,30.356745175308248,22.94227859846355,22.768394790807417,28.745580836673007,27.487499,-1.6168826203716193
2016-11-18,27.514999,27.45311737962838,23.62479438212269,30.356745175308248,22.94227859846355,22.768394790807417,28.745580836673007,27.514999,-1.6168826203716193
2016-11-21,27.932501,27.45311737962838,23.62479438212269,30.356745175308248,22.94227859846355,22.768394790807417,28.745580836673007,27.932501,-1.6168826203716193
2016-11-22,27.950001,27.470317040845384,23.62479438212269,30.37576398929014,22.94227859846355,22.78265942499965,28.745580836673007,27.950001,-1.5996829591546167
2016-11-23,27.807501,27.470317040845384,23.62479438212269,30.220896504009048,22.94227859846355,22.666504546577194,28.745580836673007,27.807501,-1.5996829591546167
2016-11-25,27.9475,27.470317040845384,23.62479438212269,30.373045929074785,22.94227859846355,22.78062080499309,28.745580836673007,27.9475,-1.5996829591546167
2016-11-28,27.8925,27.416256125298496,23.62479438212269,30.313272513703133,22.94227859846355,22.735789097531793,28.745580836673007,27.8925,-1.6537438747015045
2016-11-29,27.865,27.389225667525057,23.62479438212269,30.28338580601731,22.94227859846355,22.713373243801144,28.745580836673007,27.865,-1.6807743324749431
2016-11-30,27.629999,27.158237136353552,23.62479438212269,30.28338580601731,22.94227859846355,22.521818769526373,28.745580836673007,27.629999,-1.911762863646448
2016-12-01,27.372499,27.158237136353552,23.62479438212269,30.28338580601731,22.94227859846355,22.311924866412117,28.745580836673007,27.372499,-1.911762863646448
2016-12-08,28.030001,27.158237136353552,23.62479438212269,30.283385806017307,22.94227859846355,22.84786918130699,28.745580836673007,28.030001,-1.911762863646448
2016-12-09,28.487499,27.601506445313174,23.62479438212269,30.777662935707077,22.94227859846355,23.220785844945695,28.745580836673007,28.487499,-1.4684935546868267
2016-12-12,28.325001,27.44406231185834,23.490034154925976,30.602101414082224,22.94227859846355,23.088330157690315,28.745580836673007,28.325001,-1.6259376881416614
2016-12-13,28.797501,27.901867042116002,23.881880253649943,31.112586582931957,22.94227859846355,23.473475280880557,28.745580836673007,28.797501,-1.1681329578839978
2016-12-14,28.797501,27.901867042116002,23.881880253649943,31.112586582931957,22.94227859846355,23.473475280880557,28.745580836673007,28.797501,-1.1681329578839978
2016-12-15,28.955,28.054467649969656,24.012494790587354,31.282747225489974,22.94227859846355,23.60185617348868,28.745580836673007,28.955,-1.0155323500303446
2016-12-16,28.9925,28.090801358720267,24.04359368731148,31.32326192143043,22.94227859846355,23.63242324675775,28.745580836673007,28.9925,-0.9791986412797336
2016-12-19,29.16,28.090801358720267,24.182502092679236,31.32326192143043,22.94227859846355,23.768956174026247,28.745580836673007,29.16,-0.9791986412797336
2016-12-20,29.237499,28.16545873233136,24.24677231660518,31.406510257358033,22.94227859846355,23.83212731032703,28.745580836673007,29.237499,-0.9045412676686411
2016-12-21,29.264999,28.191950400279396,24.26957817420287,31.406510257358033,22.94227859846355,23.854543164057677,28.745580836673007,29.264999,-0.8780495997206046
2016-12-22,29.0725,28.006509687976507,24.109938000322945,31.406510257358033,22.94227859846355,23.697633003065093,28.745580836673007,29.0725,-1.063490312023493
2016-12-23,29.129999,28.006509687976507,24.157622145996022,31.406510257358033,22.9876533710883,23.74450170028904,28.745580836673007,29.129999,-1.063490312023493
2016-12-27,29.315001,28.184376508545053,24.311045028442862,31.406510257358033,23.13364588722117,23.895300891993674,28.745580836673007,29.315001,-0.8856234914549468
2016-12-28,29.190001,28.064197523609383,24.207382039362447,31.406510257358033,23.03500336164518,23.79341064776345,28.745580836673007,29.190001,-1.0058024763906168
2016-12-29,29.182501,28.056986784513246,24.20116226001762,31.406510257358033,23.02908481011062,23.787297233109637,28.745580836673007,29.182501,-1.0130132154867546
2017-04-03,35.924999,34.53943930907949,29.792742232407388,31.406510257358033,28.349861061399064,29.283255376643922,28.745580836673007,35.924999,5.46943930907949
2017-04-04,36.192501,34.79662425970558,30.0145826876473,31.406510257358033,28.560957644412092,29.501302129540505,28.745580836673007,36.192501,5.726624259705581
2017-04-05,36.005001,34.61635578230208,29.85908820402668,31.406510257358033,28.412993856048107,29.34846676319517,28.745580836673007,36.005001,5.546355782302079
2017-04-06,35.915001,34.52982691314839,29.784450851888778,31.406510257358033,28.341971237633395,29.275105787349407,28.745580836673007,35.915001,5.45982691314839
2017-04-07,35.834999,34.52982691314839,29.718104880269493,31.406510257358033,28.278838442984355,29.209894400798163,28.745580836673007,35.834999,5.45982691314839
2017-04-10,35.7925,34.48887579957414,29.68286029328606,31.406510257358033,28.24530077342872,29.175252532881835,28.745580836673007,35.7925,5.418875799574138
2017-04-25,36.1325,34.48887579957414,29.96482362358479,31.406510257358033,28.513608442995412,29.452393997188043,28.745580836673007,36.1325,5.418875799574138
2017-04-26,35.919998,34.28604026134232,29.78859488354026,31.406510257358033,28.345914571235824,29.27917895175276,28.745580836673007,35.919998,5.216040261342322
2017-04-27,35.947498,34.28604026134232,29.811400741137952,31.406510257358033,28.36761592686254,29.301594805483408,28.745580836673007,35.947498,5.216040261342322
2017-04-28,35.912498,34.28604026134232,29.782375104195435,31.406510257358033,28.339996019701264,29.273065537098944,28.745580836673007,35.912498,5.216040261342322
2017-05-01,36.645,34.28604026134232,30.389841878814494,31.406510257358033,28.91804279785697,29.870143998531958,28.745580836673007,36.645,5.216040261342322
2017-05-02,36.877499,34.503572532449475,30.58265420920015,31.605772973371824,29.101517106288103,30.059659037678212,28.927960937612987,36.877499,5.433572532449475
2017-05-03,36.764999,34.39831452919116,30.48935751902778,31.50935511543888,29.012738833269715,29.967957817871017,28.83971212210949,36.764999,5.328314529191161
2017-05-04,36.6325,34.27434492764695,30.37947557990645,31.395797162032146,28.908178545299368,29.859954974108934,28.73577541272817,36.6325,5.20434492764695
2017-05-05,37.240002,34.84274001649525,30.88327936544509,31.395797162032146,29.387582797879084,30.35514319131172,28.73577541272817,37.240002,5.7727400164952485
2017-05-08,38.252499,35.79005923894001,31.722947089084716,32.249399437326495,30.186584887623983,31.18045172421066,29.517055886291548,38.252499,6.72005923894001
2017-05-09,38.497501,36.019289650622625,31.926128206290155,32.45595240948509,30.37992581603333,31.380158233145803,29.706108573444176,38.497501,6.9492896506226245
2017-05-10,38.314999,35.84853590741685,31.774778583624926,32.30209109192488,30.235906150411978,31.23139684632577,29.565283218913482,38.314999,6.7785359074168525
2017-05-11,38.487499,36.00993151241294,31.917833508555898,32.447520058616405,30.372032835706843,31.372005383363476,29.69839065695002,38.487499,6.93993151241294
2017-05-12,39.025002,36.51283366819387,32.36358684951342,32.447520058616405,30.79619806310421,31.810135878919294,29.698390656950018,39.025002,7.44283366819387
2017-05-15,38.924999,36.41926819175084,32.28065397033735,32.36437209751132,30.717281675222804,31.728621238169254,29.622287440840843,38.924999,7.349268191750838
2017-05-16,38.8675,36.36547059237884,32.23296982466427,32.36437209751132,30.671906902598053,31.681752540945308,29.622287440840843,38.8675,7.295470592378841
2017-06-02,38.862499,36.360791523273996,32.228822475797145,32.36437209751132,30.66796041243481,31.677676116054144,29.622287440840843,38.862499,7.290791523273995
2017-06-05,38.482498,36.005252443308095,31.91368615968877,32.36437209751132,30.3680863455436,31.677676116054144,29.622287440840843,38.482498,6.935252443308094
2017-06-06,38.612499,36.126884849366625,32.02149649763631,32.36437209751132,30.470675361282833,31.784689168397136,29.622287440840843,38.612499,7.056884849366625
2017-06-07,38.842499,36.342078989361404,32.212236397544274,32.36437209751132,30.65217760834265,31.97401849693221,29.622287440840843,38.842499,7.272078989361404
2017-06-08,38.747501,36.253196324529995,32.13345418445098,32.36437209751132,30.57721086718531,31.895818898879277,29.622287440840843,38.747501,7.183196324529995
2017-10-05,38.8475,36.253196324529995,32.2163837464114,32.36437209751132,30.656124098505895,31.97813517507136,29.622287440840843,38.8475,7.183196324529995
2017-10-06,38.825001,36.253196324529995,32.2163837464114,32.36437209751132,30.656124098505895,31.97813517507136,29.622287440840843,38.825001,7.183196324529995
2017-10-09,38.959999,36.253196324529995,32.2163837464114,32.476905913142645,30.656124098505895,31.97813517507136,29.622287440840843,38.959999,7.183196324529995
2017-10-10,38.974998,36.253196324529995,32.2163837464114,32.489409022082434,30.656124098505895,31.990446264953338,29.622287440840843,38.974998,7.183196324529995
2017-10-11,39.137501,36.40435099969701,32.2163837464114,32.624870900343865,30.656124098505895,32.12382775965909,29.622287440840843,39.137501,7.334350999697008
2017-10-12,39.0,36.27645232096407,32.2163837464114,32.510250593501375,30.656124098505895,32.01096775766814,29.622287440840843,39.0,7.206452320964068
2017-10-13,39.247501,36.27645232096407,32.2163837464114,32.71656647894092,30.656124098505895,32.21411510461662,29.622287440840843,39.247501,7.206452320964068
2017-10-16,39.970001,36.944258834349384,32.2163837464114,33.31883971108976,30.656124098505895,32.80713880217855,29.622287440840843,39.970001,7.874258834349384
2017-10-17,40.1175,37.08059211174429,32.33527001779808,33.441794312430545,30.656124098505895,32.92820510303209,29.622287440840843,40.1175,8.010592111744288
2017-10-18,39.939999,36.91652799557487,32.19220171186104,33.29383015882549,30.656124098505895,32.7825133392384,29.622287440840843,39.939999,7.846527995574867
2017-10-19,38.994999,36.91652799557487,31.430518402412066,32.50608177905988,30.656124098505895,32.006862966648754,29.622287440840843,38.994999,7.846527995574867
2017-10-20,39.0625,36.91652799557487,31.430518402412066,32.50608177905988,30.656124098505895,32.062267385484915,29.622287440840843,39.0625,7.846527995574867
2017-10-27,40.762501,36.91652799557487,31.430518402412066,32.50608177905988,30.656124098505895,32.062267385484915,29.622287440840843,40.762501,7.846527995574867
2017-10-30,41.68,37.74746026637474,32.13796933148275,33.2377419273468,30.656124098505895,32.062267385484915,29.622287440840843,41.68,8.677460266374737
2017-10-31,42.259998,38.27273501348551,32.58518521287242,33.70026169323877,30.656124098505895,32.508429836517706,29.622287440840843,42.259998,9.202735013485508
2017-11-01,41.7225,37.78595035901679,32.17073957372334,33.27163357878423,30.656124098505895,32.0949604364418,29.622287440840847,41.7225,8.715950359016787
2017-11-02,42.0275,38.06217337680097,32.40591425333233,33.5148560185117,30.880226629515413,32.3295811550736,29.83883241464291,42.0275,8.99217337680097
2017-11-03,43.125,39.05612341620466,33.25215756766299,34.390058076219546,31.68662835995127,33.17383111801912,30.618039328569992,43.125,9.986123416204663
2017-11-06,43.5625,39.45234495810819,33.5894982966103,34.738942723369604,32.00808690853049,33.51037723081062,30.928657118859835,43.5625,10.382344958108192
2017-11-07,43.702499,39.579134945868084,33.69744655880891,34.850585013007,32.11095290931344,33.61807121765565,31.028054101769065,43.702499,10.509134945868084
2017-11-08,44.060001,39.902906359979156,33.97310366802061,35.135675205293715,32.373631935677246,33.89307900831893,31.281874630372943,44.060001,10.832906359979155
2017-11-09,43.970001,39.82139792850186,33.903707860922886,35.135675205293715,32.30750331996953,33.82384666511611,31.281874630372943,43.970001,10.75139792850186
2017-11-10,43.6675,39.547438128165034,33.67046007155765,35.135675205293715,32.0852369601895,33.59114829788058,31.281874630372943,43.6675,10.477438128165034
2017-11-13,43.4925,39.38894951140363,33.53552377997873,35.135675205293715,31.95665354075781,33.45652985276398,31.281874630372943,43.4925,10.31894951140363
2017-11-14,42.834999,39.38894951140363,33.028548084839116,35.135675205293715,31.47354653013065,32.950748354006215,31.281874630372943,42.834999,10.31894951140363
2017-11-24,43.7425,39.38894951140363,33.72828991080576,35.135675205293715,32.14034413994593,33.64884191721627,31.281874630372943,43.7425,10.31894951140363
2017-11-27,43.522499,39.19084450411191,33.55865494461345,35.135675205293715,31.978695677897992,33.47960653125,31.281874630372943,43.522499,10.120844504111908
2017-11-28,43.267502,39.19084450411191,33.362035804363444,35.135675205293715,31.791333471013296,33.28345053325344,31.281874630372943,43.267502,10.120844504111908
2017-12-13,43.067501,39.00968756808942,33.2078221286373,35.135675205293715,31.644380256900398,33.129600112443356,31.281874630372943,43.067501,9.939687568089418
2017-12-14,43.055,38.99836441041912,33.19818305103142,35.135675205293715,31.635194992178594,33.11998373997248,31.281874630372943,43.055,9.928364410419121
2017-12-15,43.4925,39.39464322657423,33.53552377997873,35.135675205293715,31.95665354075781,33.45652985276398,31.281874630372943,43.4925,10.324643226574231
2017-12-18,44.105,39.949433569191385,34.00780080050495,35.135675205293715,32.40669550876871,33.927694410672075,31.281874630372943,44.105,10.879433569191384
2017-12-19,43.634998,39.5237150865616,33.645398932421095,34.76125421860653,32.06135571277025,33.566146191005274,30.948521413276826,43.634998,10.453715086561601
2017-12-20,43.587502,39.480694152499645,33.608776451822045,34.72341714730961,32.026457437974095,33.529609975752365,30.914834440882668,43.587502,10.410694152499644
2017-12-21,43.752499,39.63014516010912,33.73599978497432,34.72341714730961,32.14769102915106,33.6565336305461,30.914834440882668,43.752499,10.560145160109123
2017-12-22,43.752499,39.63014516010912,33.73599978497432,34.72341714730961,32.14769102915106,33.6565336305461,30.914834440882668,43.752499,10.560145160109123
2018-04-05,43.200001,39.12970343812496,33.309988177975626,34.72341714730961,31.741736274470103,33.23152550660306,30.914834440882668,43.200001,10.059703438124963
2018-04-06,42.095001,38.12881637103606,33.309988177975626,34.72341714730961,30.929823826058602,33.23152550660306,30.914834440882668,42.095001,9.058816371036059
2018-04-09,42.512501,38.12881637103606,33.309988177975626,34.72341714730961,31.236587126702766,33.23152550660306,30.914834440882668,42.512501,9.058816371036059
2018-04-10,43.3125,38.12881637103606,33.309988177975626,34.72341714730961,31.82439630934236,33.23152550660306,30.914834440882668,43.3125,9.058816371036059
2018-04-11,43.110001,38.12881637103606,33.309988177975626,34.56107470000426,31.675607658762377,33.23152550660306,30.914834440882668,43.110001,9.058816371036059
2018-04-12,43.535,38.50470847154596,33.309988177975626,34.90179429744586,31.98788094261979,33.55913777246176,30.914834440882668,43.535,9.43470847154596
2018-04-13,43.682499,38.63516456422644,33.309988177975626,35.02004351662765,32.09625766137839,33.672837996702036,30.914834440882668,43.682499,9.565164564226443
2018-04-16,43.955002,38.876180955006774,33.309988177975626,35.238507824688675,32.09625766137839,33.882898079862926,30.914834440882668,43.955002,9.806180955006774
2018-04-17,44.560001,39.41127479032495,33.76846863800807,35.72353253235286,32.09625766137839,34.34926410244709,30.914834440882668,44.560001,10.341274790324952
2018-04-18,44.459999,39.32282761318997,33.69268510288791,35.643361423283544,32.09625766137839,34.27217714033565,30.914834440882668,44.459999,10.252827613189972
2018-04-19,43.200001,38.208417238440205,32.737833173083125,34.63322725511556,32.09625766137839,33.300902384965795,30.914834440882668,43.200001,9.138417238440205
2018-05-02,44.142502,38.208417238440205,32.737833173083125,34.63322725511556,32.09625766137839,34.027433243118615,30.914834440882668,44.142502,9.138417238440205
2018-05-03,44.2225,38.277661092407534,32.79716286803744,34.63322725511556,32.09625766137839,34.027433243118615,30.914834440882668,44.2225,9.207661092407534
2018-05-04,45.9575,39.77942471941477,34.083907795982384,35.99200727179543,32.09625766137839,35.36244588774095,30.914834440882668,45.9575,10.70942471941477
2018-05-07,46.290001,40.067227548085384,34.33050374715622,36.252408259879616,32.09625766137839,35.61829201993089,30.914834440882668,46.290001,10.997227548085384
2018-05-08,46.512501,40.259816831664125,34.4955185866189,36.42666102858929,32.09625766137839,35.78949681153232,30.914834440882668,46.512501,11.189816831664125
2018-05-09,46.84,40.543290080125935,34.73840485587368,36.683144657801186,32.09625766137839,36.041494106115124,30.914834440882668,46.84,11.473290080125935
