trade_date,close_price,portfolio_value_PPO_Paper,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_Paper
2022-10-14,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,0.0
2022-10-17,142.410004,142.410004,138.380005,138.380005,138.380005,138.380005,138.380005,142.410004,4.029998999999975
2022-10-18,143.75,143.75,138.380005,139.6820810337875,138.380005,138.380005,138.380005,143.75,5.369994999999989
2022-10-19,143.860001,143.860001,138.380005,139.78896916314957,138.380005,138.380005,138.380005,143.860001,5.479996
2022-10-20,143.389999,143.860001,138.380005,139.33226754610578,138.380005,137.92790658030088,138.380005,143.389999,5.479996
2022-10-21,147.270004,147.75272383334078,138.380005,143.10247396573362,138.380005,141.66011224947803,138.380005,147.270004,9.37271883334077
2022-10-24,149.449997,149.93986238796194,138.380005,145.22077628837079,138.380005,143.7570637310783,138.380005,149.449997,11.559857387961927
2022-10-25,152.339996,149.93986238796194,138.380005,148.02899245884427,138.380005,146.53697526513977,138.380005,152.339996,11.559857387961927
2022-10-26,149.350006,149.93986238796194,135.6640089253385,145.12361489035584,138.380005,143.66088164444008,138.380005,149.350006,11.559857387961927
2022-10-27,144.800003,145.37188919561527,135.6640089253385,145.12361489035584,138.380005,139.28419991558332,138.380005,144.800003,6.991884195615256
2022-10-28,155.740005,156.3550986265143,135.6640089253385,145.12361489035584,138.380005,149.80746921168188,138.380005,155.740005,17.97509362651428
2022-10-31,153.339996,156.3550986265143,133.57337818215282,142.8872082468002,138.380005,147.4988827031913,138.380005,153.339996,17.97509362651428
2022-11-01,150.649994,153.61220349812572,131.2301366024625,140.38057667001112,138.380005,144.9113497710178,138.380005,150.649994,15.232198498125712
2022-11-14,148.279999,151.19560762206123,131.2301366024625,140.38057667001112,138.380005,142.63163395237288,138.380005,148.279999,12.81560262206122
2022-11-15,150.039993,152.9902081348464,131.2301366024625,140.38057667001112,138.380005,144.32458527189894,138.380005,150.039993,14.610203134846387
2022-11-16,148.789993,151.7156295618618,131.2301366024625,139.21105035020176,138.380005,143.12220097433453,138.380005,148.789993,13.335624561861778
2022-11-17,150.720001,151.7156295618618,131.2301366024625,141.01680647295586,138.380005,144.97869002503347,138.380005,150.720001,13.335624561861778
2022-11-18,151.289993,152.28938682401326,131.72642194963623,141.5501029898205,138.380005,145.52696956946335,138.380005,151.289993,13.909381824013252
2022-11-21,148.009995,148.98772176144703,128.87056617243383,138.4812677978828,138.380005,142.37191509646922,138.380005,148.009995,10.607716761447023
2022-11-22,150.179993,151.17205436849088,128.87056617243383,138.4812677978828,138.380005,144.45925231322613,138.380005,150.179993,12.792049368490865
2022-11-23,151.070007,152.06794763702177,128.87056617243383,138.4812677978828,138.380005,145.31536339979613,138.380005,151.070007,13.687942637021763
2022-11-25,148.110001,152.06794763702177,126.34552724069009,138.4812677978828,135.66864188289875,142.468111611719,138.380005,148.110001,13.687942637021763
2022-11-28,144.220001,152.06794763702177,126.34552724069009,138.4812677978828,132.1054050092154,138.72629167769855,138.380005,144.220001,13.687942637021763
2023-01-06,129.619995,152.06794763702177,126.34552724069009,138.4812677978828,132.1054050092154,124.68243731070163,138.380005,129.619995,13.687942637021763
2023-01-09,130.149994,152.6897333436149,126.34552724069009,138.4812677978828,132.1054050092154,124.68243731070163,138.380005,130.149994,14.309728343614893
2023-01-10,130.729996,153.37018170935792,126.34552724069009,139.0983973867271,132.1054050092154,124.68243731070163,138.380005,130.729996,14.990176709357911
2023-01-11,133.490005,156.608176774006,126.34552724069009,142.03508246604846,132.1054050092154,124.68243731070163,138.380005,133.490005,18.228171774006
2023-01-12,133.410004,156.51432097746078,126.34552724069009,141.94996037295718,132.1054050092154,124.68243731070163,138.380005,133.410004,18.134315977460773
2023-01-13,134.759995,158.09810718805628,126.34552724069009,143.3863681625398,132.1054050092154,125.94411307099554,138.380005,134.759995,19.718102188056264
2023-01-17,135.940002,158.09810718805628,126.34552724069009,144.6419107895366,132.1054050092154,127.04692503705836,138.380005,135.940002,19.718102188056264
2023-01-18,135.210007,158.09810718805628,126.34552724069009,143.8651867192603,132.1054050092154,126.36468567647319,138.380005,135.210007,19.718102188056264
2023-01-19,135.270004,158.09810718805628,126.34552724069009,143.92902429903054,132.1054050092154,126.42075772479822,138.380005,135.270004,19.718102188056264
2023-01-20,137.869995,161.1368714643254,126.34552724069009,143.92902429903054,132.1054050092154,128.85065956983442,138.380005,137.869995,22.756866464325384
2023-01-23,141.110001,164.92365937539805,129.31470313957223,147.31142017351365,132.1054050092154,131.87870718897173,138.380005,141.110001,26.543654375398035
2023-01-24,142.529999,164.92365937539805,130.6160043834776,148.79382340887008,132.1054050092154,133.20581015207728,138.380005,142.529999,26.543654375398035
2023-01-25,141.860001,164.92365937539802,130.00201110263205,148.0943807315689,132.1054050092154,132.57964283981713,138.380005,141.860001,26.543654375398006
2023-01-26,143.960007,167.3650852303879,131.92647889766323,148.0943807315689,132.1054050092154,134.54226826966942,138.380005,143.960007,28.985080230387894
2023-01-27,145.929993,169.65535237932372,133.7317949842184,150.12094257189904,132.1054050092154,136.38337949509116,138.380005,145.929993,31.275347379323705
2023-01-30,143.0,166.24899989026446,131.04671829007236,147.1068033819584,132.1054050092154,133.64506409452125,138.380005,143.0,27.868994890264446
2023-01-31,144.289993,166.24899989026446,132.22888157166093,147.1068033819584,132.1054050092154,134.85066687190925,138.380005,144.289993,27.868994890264446
